simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,20,1790,0,0,4039,4455,2915,0.00991,0.38051,0.00024,0.01419,0.0141
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,19,2238,0,0,4039,4689,2927,0.01164,0.38905,0.00038,0.01716,0.01665
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,18,2839,0,0,4039,4327,2903,0.01139,0.38726,0.00058,0.01677,0.01159
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,17,948,0,0,4039,4607,2929,0.00916,0.3757,0.0002,0.01251,0.01652
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,16,1220,0,0,4039,4523,2941,0.01015,0.37976,0.00031,0.01427,0.00976
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,15,1396,0,0,4039,4738,2948,0.01164,0.38723,0.00055,0.01665,0.0111
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,14,1408,0,0,4039,4384,2860,0.01189,0.38958,0.00059,0.01707,0.00798
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,13,32,1,0,4038,4341,2905,0.01189,0.38939,0.00035,0.01707,0.00798
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,12,1495,1,0,4038,4605,2831,0.01065,0.38239,0.00058,0.01503,0.01107
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,11,1881,0,0,4039,4488,2922,0.0104,0.3825,0.00028,0.01519,0.01045
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,10,1931,0,0,4039,4599,2933,0.00991,0.3808,0.00027,0.01461,0.00897
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,9,403,0,0,4039,4507,2915,0.00916,0.37802,0.00029,0.0134,0.01502
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,8,945,0,0,4039,4411,2941,0.00941,0.3783,0.00037,0.01354,0.0128
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,7,1247,0,0,4039,4533,2871,0.01114,0.38497,0.00063,0.01583,0.01515
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,6,310,0,0,4039,4553,2905,0.01065,0.38246,0.00036,0.01492,0.01218
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,5,31,0,0,4039,4582,2898,0.01139,0.38853,0.00046,0.01695,0.01546
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,4,1776,0,0,4039,4587,2961,0.01114,0.38402,0.00043,0.01567,0.01212
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,3,2938,0,0,4039,4417,2927,0.0104,0.38246,0.00034,0.01496,0.00581
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,2,580,0,0,4039,4359,2885,0.0104,0.38282,0.00041,0.01486,0.00813
EGO-COMPLEX-s10-Ego-erdos_renyi,20,1807.12297,erdos_renyi_gnp,4039,88330,0.01083,4,3,1.0,0.3,30,,43.73855,2.60499,1,1270,1,0,4038,4467,2905,0.00842,0.37275,0.00019,0.01176,0.00357
EGO-COMPLEX-s10-Ego-barabasi_albert,20,1785.81489,barabasi_albert,4039,88374,0.01084,3,3,1.0,0.3,30,,43.76034,2.50737,20,1089,0,0,4039,4554,2804,0.0104,0.40558,0.00013,0.01047,0.03717
EGO-COMPLEX-s10-Ego-barabasi_albert,20,1785.81489,barabasi_albert,4039,88374,0.01084,3,3,1.0,0.3,30,,43.76034,2.50737,19,968,4,0,4035,4067,2765,0.01114,0.40607,0.00012,0.01089,0.0303
EGO-COMPLEX-s10-Ego-barabasi_albert,20,1785.81489,barabasi_albert,4039,88374,0.01084,3,3,1.0,0.3,30,,43.76034,2.50737,18,42,2,0,4037,4302,2794,0.0733,0.51617,0.00758,0.08103,0.04017
EGO-COMPLEX-s10-Ego-barabasi_albert,20,1785.81489,barabasi_albert,4039,88374,0.01084,3,3,1.0,0.3,30,,43.76034,2.50737,17,227,4,0,4035,4183,2797,0.02006,0.45478,0.00061,0.0239,0.05185
EGO-COMPLEX-s10-Ego-barabasi_albert,20,1785.81489,barabasi_albert,4039,88374,0.01084,3,3,1.0,0.3,30,,43.76034,2.50737,16,369,4,0,4035,4389,2809,0.0213,0.45132,0.00086,0.02253,0.03666
EGO-COMPLEX-s10-Ego-barabasi_albert,20,1785.81489,barabasi_albert,4039,88374,0.01084,3,3,1.0,0.3,30,,43.76034,2.50737,15,1161,3,0,4036,4406,2788,0.01139,0.41672,0.00019,0.01321,0.04734
EGO-COMPLEX-s10-Ego-barabasi_albert,20,1785.81489,barabasi_albert,4039,88374,0.01084,3,3,1.0,0.3,30,,43.76034,2.50737,14,2049,6,0,4033,4503,2755,0.00768,0.38876,0.0002,0.0076,0.04086
EGO-COMPLEX-s10-Ego-barabasi_albert,20,1785.81489,barabasi_albert,4039,88374,0.01084,3,3,1.0,0.3,30,,43.76034,2.50737,13,1962,1,0,4038,4501,2763,0.00644,0.40842,9e-05,0.01178,0.10462
EGO-COMPLEX-s10-Ego-barabasi_albert,20,1785.81489,barabasi_albert,4039,88374,0.01084,3,3,1.0,0.3,30,,43.76034,2.50737,12,2405,5,0,4034,4319,2781,0.00867,0.39128,0.00015,0.00796,0.02017
EGO-COMPLEX-s10-Ego-barabasi_albert,20,1785.81489,barabasi_albert,4039,88374,0.01084,3,3,1.0,0.3,30,,43.76034,2.50737,11,1980,5,0,4034,4112,2756,0.00718,0.39449,8e-05,0.00816,0.03695
EGO-COMPLEX-s10-Ego-barabasi_albert,20,1785.81489,barabasi_albert,4039,88374,0.01084,3,3,1.0,0.3,30,,43.76034,2.50737,10,817,1,0,4038,4355,2813,0.01486,0.408,0.0003,0.01112,0.01582
EGO-COMPLEX-s10-Ego-barabasi_albert,20,1785.81489,barabasi_albert,4039,88374,0.01084,3,3,1.0,0.3,30,,43.76034,2.50737,9,2255,2,0,4037,4489,2789,0.00718,0.38962,0.00019,0.00733,0.03448
EGO-COMPLEX-s10-Ego-barabasi_albert,20,1785.81489,barabasi_albert,4039,88374,0.01084,3,3,1.0,0.3,30,,43.76034,2.50737,8,750,1,0,4038,4156,2704,0.00941,0.40644,8e-05,0.01082,0.05405
EGO-COMPLEX-s10-Ego-barabasi_albert,20,1785.81489,barabasi_albert,4039,88374,0.01084,3,3,1.0,0.3,30,,43.76034,2.50737,7,1179,2,0,4037,4475,2719,0.00966,0.39273,0.00018,0.00814,0.02159
EGO-COMPLEX-s10-Ego-barabasi_albert,20,1785.81489,barabasi_albert,4039,88374,0.01084,3,3,1.0,0.3,30,,43.76034,2.50737,6,2936,4,0,4035,4345,2759,0.0057,0.38217,3e-05,0.00641,0.02767
